Brand,City,Country,Sum of Latitude,Sum of Longitude,Postcode,State/Province,Store Name,Store Number
Coffee House Holdings,Seattle,US,47.63,-122.32,981024698,WA,Roy St Coffee & Tea,6193-149684
Evolution Fresh,Seattle,US,47.61,-122.34,98101,WA,Evolution Fresh Pine Street,16735-175204
Evolution Fresh,Seattle,US,47.66,-122.3,98105,WA,Evolution Fresh-University Village,18576-191944
Starbucks,"",EG,31.24,29.96,"",ALX,سان ستيفانو,31657-104436
Starbucks,"",EG,30.06,31.03,"",C,أسكندرية الصحراوى,32314-115172
Starbucks,"",EG,30.07,31.23,"",C,النايل سيتى,32152-109504
Starbucks,"",EG,30.08,31.34,"",C,تيفولى,3562-131562
Starbucks,"",EG,30.06,31.2,"",C,سليمان أباظة,3664-142484
Starbucks,"",EG,30.06,31.33,"",C,سيتى ستارز 1,31756-107161
Starbucks,"",EG,30.06,31.33,"",C,سيتى ستارز 3,1397-139244
Starbucks,"",EG,30.11,31.41,"",C,مطار القاهرة,31646-106547
Starbucks,"",EG,29.99,31.3,"",C,معادى سيتى سنتر,32191-116645
Starbucks,"",EG,30.09,31.34,"",C,مكرم عبيد,31479-105246
Starbucks,"",EG,27.92,34.33,"",JS,المركاتو مول2,32389-107342
Starbucks,"",EG,28.04,34.43,"",JS,خان لاجونا,32490-111349
Starbucks,"",EG,27.91,34.33,"",JS,سنافير - نعمه بيه,31755-107182
Starbucks,"",SA,21.42,39.83,"",2,ابراج البيت 1,31429-102231
Starbucks, Niederzissen,DE,50.44,7.22,56651,RP,Brohltal West A61 Niederzissen,26810-245685
Starbucks,1~2F,KR,37.88,127.75,24304,42,Chuncheon Hupyeong DT,29936-255927
Starbucks,2-3-6 Kyonancho,JP,35.7,139.54,180-0023,13,Musashisakai Ito Yokado,30179-30055
Starbucks,330-9501,JP,35.91,139.62,330-0854,11,Omiya MARUI,17309-180744
Starbucks,438-1 Fujisawa,JP,35.34,139.49,251-0052,14,LUMINE Fujisawa,30307-65682
Starbucks,A Coruna,ES,43.35,-8.41,15006,C,ECI RAMON Y CAJAL,50302-265969
Starbucks,A Coruna,ES,43.35,-8.43,15008,C,ECI MARINEDA,50301-260428
Starbucks,Aachen,DE,50.78,6.08,52062,NW,Aachen Markt,40917-85687
Starbucks,Aalborg,DK,57.02,9.99,9220,81,Aalborg University (Kiosk),25081-228567
Starbucks,Aalborg SV,DK,57,9.88,9200,81,Bilka Skalborg,23109-224384
Starbucks,Aarau,CH,47.39,8.05,5001,AG,Aarau,31007-103421
Starbucks,Aarhus C,DK,56.16,10.21,8000,DK,Borgporten,29586-253667
Starbucks,Abbotsford,CA,49.04,-122.29,"",BC,McCallum and No. 1,28177-250445
Starbucks,Abbotsford,CA,49.04,-122.31,V2S 1K2,BC,Abbotsford Hospital - main lobby,70080-103268
Starbucks,Abbotsford,CA,49.04,-122.27,V2S 2C7,BC,Save On Foods Sumas,26135-243089
Starbucks,Abbotsford,CA,49.04,-122.27,V2S 4L5,BC,Sumas Way & DeLair Road,4442-78640
Starbucks,Abbotsford,CA,49.05,-122.31,V2S 5A1,BC,Sevenoaks SC - S.Fraser & Gladwin,1633-104763
Starbucks,Abbotsford,CA,49.03,-122.27,V2S 8M9,BC,Bakerview - Sumas Way,4661-99980
Starbucks,Abbotsford,CA,49.06,-122.38,V2T 0C5,BC,High Street - Abbotsford,18623-164186
Starbucks,Abbotsford,CA,49.05,-122.32,V2T 4W1,BC,Safeway - Abbotsford #88,74876-100963
Starbucks,Abbotsford,CA,49.05,-122.32,V2T 4W2,BC,West Oaks Mall,4236-552
Starbucks,Abbotsford,CA,49.04,-122.22,V3G 1E1,BC,Sumas Mountain Village,16484-136290
