Sum of  Calcium (% DV) ,Sum of  Dietary Fibre (g),Sum of  Protein (g) ,Sum of  Sodium (mg),Sum of  Sugars (g),Sum of  Total Carbohydrates (g) ,Sum of  Total Fat (g),Beverage,Beverage category,Beverage prep,Sum of Caffeine (mg),Sum of Calories,Sum of Cholesterol (mg),Sum of Iron (% DV) ,Sum of Saturated Fat (g),Sum of Trans Fat (g) ,Sum of Vitamin A (% DV) 
0.2,7,20,15,34,160,5,Banana Chocolate Smoothie,Smoothies,2% Milk,15,300,53,0.2,0.1,2.5,0.08
0.2,7,20,5,34,150,2.5,Banana Chocolate Smoothie,Smoothies,Grande Nonfat Milk,0,280,53,0,0,1.5,0.1
0.2,7,19,5,31,150,4.5,Banana Chocolate Smoothie,Smoothies,Soymilk,15,290,51,0.2,0,1.5,0.06
0,0,1,0,0,10,0.1,Brewed Coffee,Coffee,Grande,330,5,0,0,0,0,0
0,0,0.3,0,0,5,0.1,Brewed Coffee,Coffee,Short,175,3,0,0,0,0,0
0,0,0.5,0,0,10,0.1,Brewed Coffee,Coffee,Tall,260,4,0,0,0,0,0
0.02,0,1,0,0,10,0.1,Brewed Coffee,Coffee,Venti,410,5,0,0,0,0,0
0.02,0,1,0,0,15,0,Caffè Americano,Classic Espresso Drinks,Grande,225,15,3,0,0,0,0
0,0,0.4,0,0,5,0,Caffè Americano,Classic Espresso Drinks,Short,75,5,1,0,0,0,0
0.02,0,1,0,0,10,0,Caffè Americano,Classic Espresso Drinks,Tall,150,10,2,0,0,0,0
0.02,0,1,0,0,15,0,Caffè Americano,Classic Espresso Drinks,Venti,300,25,4,0,0,0,0
1.4,0,44,105,62,610,25.5,Caffè Latte,Classic Espresso Drinks,2% Milk,450,680,68,0,0.8,13,0.7
0.4,0,13,5,18,150,0.3,Caffè Latte,Classic Espresso Drinks,Grande Nonfat Milk,150,130,19,0,0,0.2,0.2
0.2,0,6,5,9,75,0.1,Caffè Latte,Classic Espresso Drinks,Short Nonfat Milk,75,70,10,0,0,0.1,0.1
1.4,5,36,0,29,470,19,Caffè Latte,Classic Espresso Drinks,Soymilk,450,520,45,0.63,0,2.4,0.51
0.3,0,10,5,14,120,0.2,Caffè Latte,Classic Espresso Drinks,Tall Nonfat Milk,75,100,15,0,0,0.2,0.15
0.5,0,16,10,23,190,0.4,Caffè Latte,Classic Espresso Drinks,Venti Nonfat Milk,150,170,25,0,0,0.3,0.3
1.2,6,46,85,120,505,29,Caffè Mocha (Without Whipped Cream),Classic Espresso Drinks,2% Milk,535,930,148,0.85,0.6000000000000001,16,0.5800000000000001
0.35,2,13,5,34,125,2.5,Caffè Mocha (Without Whipped Cream),Classic Espresso Drinks,Grande Nonfat Milk,175,220,43,0.25,0,1.5,0.2
0.15,1,7,5,17,60,1.5,Caffè Mocha (Without Whipped Cream),Classic Espresso Drinks,Short Nonfat Milk,85,110,21,0.1,0,1,0.08
1.2,11,40,0,92,385,24.5,Caffè Mocha (Without Whipped Cream),Classic Espresso Drinks,Soymilk,535,810,131,1.4,0,7,0.41000000000000003
0.25,1,10,5,27,100,2,Caffè Mocha (Without Whipped Cream),Classic Espresso Drinks,Tall Nonfat Milk,95,170,32,0.2,0,1,0.15
0.45,2,17,10,44,160,3,Caffè Mocha (Without Whipped Cream),Classic Espresso Drinks,Venti Nonfat Milk,180,280,54,0.3,0,2,0.25
0.9,0,29,65,39,385,16.5,Cappuccino,Classic Espresso Drinks,2% Milk,450,440,45,0,0.5,8,0.43000000000000005
0.25,0,8,5,10,90,0.2,Cappuccino,Classic Espresso Drinks,Grande Nonfat Milk,150,80,12,0,0,0.1,0.15
0.15,0,5,5,7,60,0.1,Cappuccino,Classic Espresso Drinks,Short Nonfat Milk,75,50,8,0,0,0.1,0.08
0.9,3,24,0,19,295,12.5,Cappuccino,Classic Espresso Drinks,Soymilk,450,340,31,0.39,0,1.5,0.28
0.2,0,6,5,8,70,0.1,Cappuccino,Classic Espresso Drinks,Tall Nonfat Milk,75,60,9,0,0,0.1,0.1
0.3,0,10,5,14,120,0.2,Cappuccino,Classic Espresso Drinks,Venti Nonfat Milk,150,110,16,0,0,0.2,0.2
0.1,0,3,0,32,200,0.1,Caramel,Frappuccino® Light Blended Coffee,Grande Nonfat Milk,90,150,33,0,0,0.1,0.06
0.08,0,3,0,23,140,0.1,Caramel,Frappuccino® Light Blended Coffee,Tall Nonfat Milk,65,100,23,0,0,0,0.04
0.15,0,5,5,43,270,0.1,Caramel,Frappuccino® Light Blended Coffee,Venti Nonfat Milk,120,200,44,0.02,0,0.1,0.08
0.1,0,4,0,59,220,0.1,Caramel (Without Whipped Cream),Frappuccino® Blended Coffee,Grande Nonfat Milk,100,280,60,0,0,0.1,0.06
0.4,1,10,0,168,660,5.5,Caramel (Without Whipped Cream),Frappuccino® Blended Coffee,Soymilk,300,780,173,0.18,0,0.7,0.14
0.1,0,3,0,41,160,0.1,Caramel (Without Whipped Cream),Frappuccino® Blended Coffee,Tall Nonfat Milk,70,180,42,0,0,0,0.04
0.15,0,5,5,77,290,0.1,Caramel (Without Whipped Cream),Frappuccino® Blended Coffee,Venti Nonfat Milk,130,330,78,0.02,0,0.1,0.1
0.33,0,11,35,177,680,11,Caramel (Without Whipped Cream),Frappuccino® Blended Coffee,Whole Milk,300,850,180,0.02,0.30000000000000004,6.5,0.16
0,0,0,0,65,20,0,Caramel Apple Spice (Without Whipped Cream),Signature Espresso Drinks,Grande,0,280,70,0,0,0,0
